Shootno Week
1 1
2 2
1 3
3 4
7 5
7 6
9 7
8 8
12 9
2 1
2 2
2 3
5 4
5 5
9 6
8 7
10 8
11 9
1 1
2 2
3 3
3 4
2 5
8 6
11 7
11 8
13 9
2 1
1 2
2 3
5 4
3 5
10 6
5 7
6 8
9 9
2 2
2 4
14 6
9 8
6 10
15 12
25 14
22 16
19 18
1 2
2 4
11 6
11 8
15 10
17 12
27 14
28 16
29 18
3 2
3 4
9 6
12 8
14 10
17 12
21 14
22 16
22 18
2 2
2 4
6 6
17 8
16 10
16 12
22 14
23 16
24 18
3 1
3 1
3 1
2 1
2 2
3 2
2 2
1 2
12 4
10 4
5 4
16 4
16 6
14 6
15 6
11 6
18 8
16 8
11 8
40 12
15 12
31 12
37 12
24 12
29 12
30 12
32 12
3 1
1 1
3 1
1 1
4 2
2 2
1 2
2 2
8 4
9 4
11 4
6 4
15 6
14 6
9 6
14 6
23 8
10 8
11 8
44 12
27 12
32 12
24 12
23 12
36 12
30 12
24 12
2 1
3 1
2 1
2 1
6 2
3 2
2 2
2 2
12 4
4 4
5 4
12 4
11 6
12 6
14 6
10 6
13 8
10 8
11 8
28 12
27 12
29 12
29 12
28 12
28 12
26 12
2 1
1 1
2 1
2 1
2 2
3 2
1 2
1 2
5 4
6 4
11 4
9 4
7 6
10 6
26 6
10 6
3 8
14 8
15 8
34 12
26 12
35 12
48 12
27 12
30 12
1 1
2 1
1 2
3 2
3 3
2 3
6 4
6 4
3 5
4 6
8 7
13 8
1 1
4 1
1 2
2 2
3 3
4 3
5 4
4 4
3 5
3 6
6 7
15 8
1 1
2 1
1 2
4 2
1 3
4 3
6 4
9 4
3 5
7 6
5 7
14 8
1 1
2 1
1 2
2 2
1 3
4 3
4 4
12 4
2 5
8 6
8 7
6 8
